arm,init,seed,cv_mse_0,cv_mse,improvement,beat_start,r2_0,r2,heuristic_r2,heuristic_cv,evals_to_heuristic,rmse_0,rmse,evals,seconds,error
opt-gd,cold,0,0.006495,0.004884,0.248065,1,0.862517,0.887186,0.858037,0.006256,581,6.0175,5.4510,2000,27.33,
opt-gd,cold,1,0.006025,0.004865,0.192392,1,0.819187,0.810350,0.832372,0.005528,859,6.8657,7.0314,2000,29.43,
opt-gd,cold,2,0.006439,0.005480,0.148963,1,0.835648,0.858026,0.808888,0.006182,291,6.3587,5.9100,2000,31.35,
opt-gd,cold,3,0.006382,0.005066,0.206262,1,0.867659,0.884577,0.858451,0.005990,424,6.2242,5.8127,2000,31.75,
opt-gd,cold,4,0.006222,0.004513,0.274791,1,0.845693,0.877810,0.755459,0.007497,0,6.8329,6.0804,2000,31.09,
opt-gd,cold,5,0.006533,0.005276,0.192480,1,0.811983,0.848604,0.842144,0.006414,565,6.6406,5.9589,2000,31.49,
opt-gd,cold,6,0.005782,0.005448,0.057677,1,0.890228,0.897942,0.862466,0.006464,0,5.9571,5.7440,2000,32.38,
opt-gd,cold,7,0.005357,0.004561,0.148654,1,0.846885,0.855404,0.870453,0.006181,0,6.3711,6.1913,2000,31.40,
opt-gd,cold,8,0.006406,0.005634,0.120495,1,0.871015,0.881116,0.872438,0.006707,0,5.7962,5.5646,2000,29.79,
opt-gd,cold,9,0.006225,0.005427,0.128160,1,0.859335,0.872443,0.849755,0.006677,0,5.8264,5.5483,2000,29.66,
