arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
opt-pso,hot,9,2000,0.005408,0.880096,0.875211,0.875211,25.19
opt-aco,hot,0,125,0.005542,0.837016,0.835445,0.835445,1.65
opt-aco,hot,0,250,0.005375,0.870909,0.835445,0.835445,3.27
opt-aco,hot,0,500,0.005363,0.867090,0.835445,0.835445,6.34
opt-aco,hot,0,1000,0.005054,0.858854,0.835445,0.835445,12.33
opt-aco,hot,0,2000,0.004766,0.861861,0.835445,0.835445,24.99
opt-aco,hot,1,125,0.005421,0.841036,0.830070,0.830070,1.55
opt-aco,hot,1,250,0.005171,0.846244,0.830070,0.830070,3.10
opt-aco,hot,1,500,0.005149,0.830874,0.830070,0.830070,6.17
opt-aco,hot,1,1000,0.005077,0.816899,0.830070,0.830070,12.36
opt-aco,hot,1,2000,0.004845,0.860814,0.830070,0.830070,24.85
opt-aco,hot,2,125,0.005367,0.845135,0.798067,0.798067,1.53
opt-aco,hot,2,250,0.005358,0.834547,0.798067,0.798067,3.22
opt-aco,hot,2,500,0.005358,0.834547,0.798067,0.798067,6.21
opt-aco,hot,2,1000,0.005335,0.823116,0.798067,0.798067,12.38
opt-aco,hot,2,2000,0.005003,0.839166,0.798067,0.798067,24.90
opt-aco,hot,3,125,0.005386,0.893571,0.874722,0.874722,1.52
opt-aco,hot,3,250,0.005142,0.892596,0.874722,0.874722,3.05
opt-aco,hot,3,500,0.005142,0.892596,0.874722,0.874722,6.29
opt-aco,hot,3,1000,0.004970,0.892179,0.874722,0.874722,13.30
opt-aco,hot,3,2000,0.004723,0.906240,0.874722,0.874722,25.79
opt-aco,hot,4,125,0.005519,0.853119,0.824534,0.824534,1.71
opt-aco,hot,4,250,0.005411,0.862203,0.824534,0.824534,3.37
opt-aco,hot,4,500,0.005281,0.830371,0.824534,0.824534,6.53
opt-aco,hot,4,1000,0.005146,0.848001,0.824534,0.824534,12.95
opt-aco,hot,4,2000,0.005049,0.828113,0.824534,0.824534,26.32
opt-aco,hot,5,125,0.005463,0.820560,0.853000,0.853000,1.59
opt-aco,hot,5,250,0.005325,0.820398,0.853000,0.853000,3.47
opt-aco,hot,5,500,0.005096,0.832291,0.853000,0.853000,7.01
opt-aco,hot,5,1000,0.005028,0.823847,0.853000,0.853000,14.30
opt-aco,hot,5,2000,0.004686,0.825949,0.853000,0.853000,27.64
opt-aco,hot,6,125,0.005477,0.892085,0.874481,0.874481,1.58
opt-aco,hot,6,250,0.005477,0.892085,0.874481,0.874481,3.21
opt-aco,hot,6,500,0.005477,0.892085,0.874481,0.874481,6.55
opt-aco,hot,6,1000,0.005004,0.897098,0.874481,0.874481,13.07
opt-aco,hot,6,2000,0.004787,0.898003,0.874481,0.874481,25.89
opt-aco,hot,7,125,0.005484,0.867966,0.830188,0.830188,1.65
opt-aco,hot,7,250,0.005399,0.884106,0.830188,0.830188,3.16
opt-aco,hot,7,500,0.005399,0.884106,0.830188,0.830188,6.13
opt-aco,hot,7,1000,0.005218,0.867505,0.830188,0.830188,12.00
opt-aco,hot,7,2000,0.004821,0.855667,0.830188,0.830188,24.04
opt-aco,hot,8,125,0.005788,0.881629,0.867871,0.867871,1.58
opt-aco,hot,8,250,0.005780,0.884535,0.867871,0.867871,3.10
opt-aco,hot,8,500,0.005463,0.893529,0.867871,0.867871,6.24
opt-aco,hot,8,1000,0.005295,0.887356,0.867871,0.867871,13.07
opt-aco,hot,8,2000,0.005005,0.889540,0.867871,0.867871,25.51
opt-aco,hot,9,125,0.005589,0.865144,0.875211,0.875211,1.48
opt-aco,hot,9,250,0.005455,0.876658,0.875211,0.875211,3.10
opt-aco,hot,9,500,0.005241,0.874322,0.875211,0.875211,6.21
opt-aco,hot,9,1000,0.005019,0.867040,0.875211,0.875211,12.33
opt-aco,hot,9,2000,0.004774,0.854276,0.875211,0.875211,24.83
opt-gd,hot,0,125,0.006113,0.835445,0.835445,0.835445,1.64
opt-gd,hot,0,250,0.005663,0.828307,0.835445,0.835445,3.19
opt-gd,hot,0,500,0.005450,0.824981,0.835445,0.835445,6.39
opt-gd,hot,0,1000,0.004289,0.732246,0.835445,0.835445,13.11
opt-gd,hot,0,2000,0.003488,0.748277,0.835445,0.835445,26.03
opt-gd,hot,1,125,0.005830,0.830070,0.830070,0.830070,1.63
opt-gd,hot,1,250,0.005830,0.830070,0.830070,0.830070,3.19
opt-gd,hot,1,500,0.005662,0.828825,0.830070,0.830070,6.31
opt-gd,hot,1,1000,0.005063,0.836238,0.830070,0.830070,12.81
opt-gd,hot,1,2000,0.004420,0.840109,0.830070,0.830070,26.77
opt-gd,hot,2,125,0.005970,0.798067,0.798067,0.798067,1.85
opt-gd,hot,2,250,0.005343,0.807036,0.798067,0.798067,3.55
opt-gd,hot,2,500,0.004452,0.833925,0.798067,0.798067,6.98
