arm,init,seed,budget,obj,acc,acc_0,heuristic_acc,seconds
opt-pso,hot,8,1000,0.011041,0.999854,0.999854,0.999854,18.857
opt-pso,hot,8,2000,0.011041,0.999854,0.999854,0.999854,38.296
opt-aco,hot,8,125,0.011041,0.999854,0.999854,0.999854,2.360
opt-aco,hot,8,250,0.011041,0.999854,0.999854,0.999854,4.817
opt-aco,hot,8,500,0.011041,0.999854,0.999854,0.999854,9.675
opt-aco,hot,8,1000,0.011041,0.999854,0.999854,0.999854,19.276
opt-aco,hot,8,2000,0.008724,0.999458,0.999854,0.999854,37.866
opt-gd,hot,8,125,0.010995,0.999854,0.999854,0.999854,3.919
opt-gd,hot,8,250,0.010995,0.999854,0.999854,0.999854,7.761
opt-gd,hot,8,500,0.001310,0.999854,0.999854,0.999854,15.481
opt-gd,hot,8,1000,0.000846,0.999854,0.999854,0.999854,31.101
opt-gd,hot,8,2000,0.000824,0.999854,0.999854,0.999854,62.237
none,hot,9,125,0.013512,0.999917,0.999917,0.999917,0.033
none,hot,9,250,0.013512,0.999917,0.999917,0.999917,0.033
none,hot,9,500,0.013512,0.999917,0.999917,0.999917,0.033
none,hot,9,1000,0.013512,0.999917,0.999917,0.999917,0.033
none,hot,9,2000,0.013512,0.999917,0.999917,0.999917,0.033
scipy-lbfgsb,hot,9,125,0.013335,0.999917,0.999917,0.999917,4.118
