seed,condition,metric,mf,tnorm,sconorm,de_morgan,auroc,fpr95,n_params,n_mfs,train_ms,samples_per_sec
2,length+template+entropy,bhattacharyya,gaussian,luk,luk,True,,,97,48,1076.2239000032423,447019.8652005184
2,length+template+entropy,bhattacharyya,gaussian,hamacher,hamacher,True,0.79006630086877,0.808641975308642,97,48,1076.2239000032423,306556.9115637471
2,length+template+entropy,bhattacharyya,gaussian,einstein,einstein,True,0.7644604481024233,0.8024691358024691,97,48,1076.2239000032423,389657.2521192594
2,length+template+entropy,bhattacharyya,gaussian,hamacher,einstein,False,0.7900091449474165,0.7962962962962963,97,48,1076.2239000032423,401139.0393704348
2,length+template+entropy,bhattacharyya,gaussian,probability,einstein,False,0.7704618198445359,0.7901234567901234,97,48,1076.2239000032423,465049.51374137733
2,length+template+entropy,bhattacharyya,gaussian,min/max,hamacher,False,0.8031169029111416,0.7777777777777778,97,48,1076.2239000032423,363432.4143682884
2,length+template+entropy,bhattacharyya,trapezoid,min/max,min/max,True,0.51550830666057,0.9629629629629629,51,25,12342.024799989304,456273.7682813739
2,length+template+entropy,bhattacharyya,trapezoid,probability,probability,True,0.51550830666057,0.9629629629629629,51,25,12342.024799989304,448815.6277464044
2,length+template+entropy,bhattacharyya,trapezoid,luk,luk,True,,,51,25,12342.024799989304,398034.3913677468
2,length+template+entropy,bhattacharyya,trapezoid,hamacher,hamacher,True,0.51550830666057,0.9629629629629629,51,25,12342.024799989304,337816.70386395755
2,length+template+entropy,bhattacharyya,trapezoid,einstein,einstein,True,0.51550830666057,0.9629629629629629,51,25,12342.024799989304,392346.8144392216
2,length+template+entropy,bhattacharyya,trapezoid,hamacher,einstein,False,0.51550830666057,0.9629629629629629,51,25,12342.024799989304,333986.1889027913
2,length+template+entropy,bhattacharyya,trapezoid,probability,einstein,False,0.51550830666057,0.9629629629629629,51,25,12342.024799989304,429765.22509276774
2,length+template+entropy,bhattacharyya,trapezoid,min/max,hamacher,False,0.51550830666057,0.9629629629629629,51,25,12342.024799989304,367388.5899828537
2,length+template+entropy,wasserstein,gaussian,min/max,min/max,True,0.7981824417009602,0.7222222222222222,97,48,980.5155999929411,487878.3262353543
2,length+template+entropy,wasserstein,gaussian,probability,probability,True,0.7708619112940099,0.7839506172839507,97,48,980.5155999929411,490092.2712152991
2,length+template+entropy,wasserstein,gaussian,luk,luk,True,,,97,48,980.5155999929411,461013.0833365686
2,length+template+entropy,wasserstein,gaussian,hamacher,hamacher,True,0.79006630086877,0.808641975308642,97,48,980.5155999929411,341483.97728723346
2,length+template+entropy,wasserstein,gaussian,einstein,einstein,True,0.7644604481024233,0.8024691358024691,97,48,980.5155999929411,419743.49082149117
2,length+template+entropy,wasserstein,gaussian,hamacher,einstein,False,0.7900091449474165,0.7962962962962963,97,48,980.5155999929411,365317.40317473933
2,length+template+entropy,wasserstein,gaussian,probability,einstein,False,0.7704618198445359,0.7901234567901234,97,48,980.5155999929411,433793.01258418226
2,length+template+entropy,wasserstein,gaussian,min/max,hamacher,False,0.8031169029111416,0.7777777777777778,97,48,980.5155999929411,339729.47448641254
2,length+template+entropy,wasserstein,trapezoid,min/max,min/max,True,0.51550830666057,0.9629629629629629,51,25,12257.706000003964,439441.2061069492
2,length+template+entropy,wasserstein,trapezoid,probability,probability,True,0.51550830666057,0.9629629629629629,51,25,12257.706000003964,411324.1068328197
2,length+template+entropy,wasserstein,trapezoid,luk,luk,True,,,51,25,12257.706000003964,360320.28750234673
2,length+template+entropy,wasserstein,trapezoid,hamacher,hamacher,True,0.51550830666057,0.9629629629629629,51,25,12257.706000003964,315697.16445608146
2,length+template+entropy,wasserstein,trapezoid,einstein,einstein,True,0.51550830666057,0.9629629629629629,51,25,12257.706000003964,393251.6073907763
2,length+template+entropy,wasserstein,trapezoid,hamacher,einstein,False,0.51550830666057,0.9629629629629629,51,25,12257.706000003964,369483.40837657626
2,length+template+entropy,wasserstein,trapezoid,probability,einstein,False,0.51550830666057,0.9629629629629629,51,25,12257.706000003964,428005.28310383856
2,length+template+entropy,wasserstein,trapezoid,min/max,hamacher,False,0.51550830666057,0.9629629629629629,51,25,12257.706000003964,352518.76874020614
2,length+template+entropy,-,Mahalanobis,-,-,True,0.7982777015698825,0.691358024691358,209,0,0.9523000044282526,
