model,seed,condition,family,budget,selected,val_auroc,test_auroc,test_fpr95,fixed_auroc
lfm,2,length+template,FIS,120,w1_t19_k2_einstein,0.7684868508717682,0.7466499839942724,0.8200371057513914,0.6250787378537179
lfm,2,length+template,Mahalanobis,120,empirical_s0.6_k6,0.8063523084860309,0.7954536849315541,0.6771799628942486,0.7254105555192224
lfm,2,length+template,IsolationForest,96,n400_mf0.7_cauto_k8,0.8016509442020494,0.7927137797267667,0.6178107606679035,0.7416228086782023
lfm,2,length+template,OneClassSVM,100,nu0.5_g0.01_rbf_k8,0.7796542993908044,0.7693557436467588,0.7291280148423006,0.5803435896200274
lfm,2,length+template,single statistic,38,ent_max_+,0.885694664156539,0.8778608086850865,0.47866419294990725,0.8087883492071141
lfm,2,length+template+entropy,FIS,120,w1_t19_k2_einstein,0.7684868508717682,0.6734258929305665,0.8795811518324608,0.6482895205723527
lfm,2,length+template+entropy,Mahalanobis,120,empirical_s0.6_k6,0.8063523084860309,0.7018927660974206,0.93717277486911,0.6719799347605603
lfm,2,length+template+entropy,IsolationForest,96,n400_mf0.7_cauto_k8,0.8016509442020494,0.6981168279378305,0.8717277486910995,0.6272580247251994
lfm,2,length+template+entropy,OneClassSVM,100,nu0.5_g0.01_rbf_k8,0.7796542993908044,0.6466859461089334,0.9214659685863874,0.5863600230256847
lfm,2,length+template+entropy,single statistic,38,ent_max_+,0.885694664156539,0.7870261231874126,0.6204188481675392,0.5767111647158795
lfm,3,length+template,FIS,120,w1_t6_k4_einstein,0.7564857303868293,0.7349869539601044,0.7761467889908257,0.6049894790000842
lfm,3,length+template,Mahalanobis,120,empirical_s0.6_k6,0.7924499188235452,0.7901085767191314,0.6788990825688074,0.7056476727548185
lfm,3,length+template,IsolationForest,96,n100_mf0.5_cauto_k8,0.7960491889063317,0.7876811716185507,0.6220183486238532,0.7128389866172882
lfm,3,length+template,OneClassSVM,100,nu0.5_g0.1_rbf_k8,0.7668156019804372,0.7639962966080296,0.7247706422018348,0.5761299553909603
lfm,3,length+template,single statistic,38,ent_max_+,0.8834547625756417,0.8805858092753136,0.47339449541284406,0.8065213365878293
lfm,3,length+template+entropy,FIS,120,w1_t6_k4_einstein,0.7564857303868293,0.6077425868848975,0.8505154639175257,0.5898740567541715
lfm,3,length+template+entropy,Mahalanobis,120,empirical_s0.6_k6,0.7924499188235452,0.6945477734084387,0.8273195876288659,0.6326256775427783
lfm,3,length+template+entropy,IsolationForest,96,n100_mf0.5_cauto_k8,0.7960491889063317,0.6819866617068764,0.8041237113402062,0.5923384525454353
lfm,3,length+template+entropy,OneClassSVM,100,nu0.5_g0.1_rbf_k8,0.7668156019804372,0.675224519077479,0.8324742268041238,0.5368928685301309
lfm,3,length+template+entropy,single statistic,38,ent_max_+,0.8834547625756417,0.79418641726007,0.6675257731958762,0.5734336805186523
sl135,0,length+template,FIS,120,w1_t4_k2_probability,0.6949648251850992,0.686437071935295,1.0,0.627978581446331
sl135,0,length+template,Mahalanobis,120,empirical_s0.6_k4,0.7263129482269091,0.7203129042360534,0.8763837638376384,0.6525374109829659
sl135,0,length+template,IsolationForest,96,n50_mf0.7_cauto_k8,0.7018494538422377,0.7071288517313217,0.8782287822878229,0.6691425770346264
sl135,0,length+template,OneClassSVM,100,nu0.01_g0.01_sigmoid_k8,0.7101485918115626,0.7127694339674023,0.8819188191881919,0.631469478901431
sl135,0,length+template,single statistic,38,ent_max_+,0.8569466415653904,0.8494063261665826,0.5793357933579336,0.6916402282104002
sl135,0,length+template+entropy,FIS,120,w1_t4_k2_probability,0.6949648251850992,0.6171229676495678,1.0,0.5828607435412728
sl135,0,length+template+entropy,Mahalanobis,120,empirical_s0.6_k4,0.7263129482269091,0.659405287004531,0.9047619047619048,0.6078340598999524
