arm,init,seed,budget,cv_mse,r2,r2_0,heuristic_r2,seconds
none,kmeans,4,125,0.007274,0.720357,0.720357,0.755459,0.01
none,kmeans,4,250,0.007274,0.720357,0.720357,0.755459,0.01
none,kmeans,4,500,0.007274,0.720357,0.720357,0.755459,0.01
none,kmeans,4,1000,0.007274,0.720357,0.720357,0.755459,0.01
none,kmeans,4,2000,0.007274,0.720357,0.720357,0.755459,0.01
none,kmeans,5,125,0.005857,0.844120,0.844120,0.842144,0.02
none,kmeans,5,250,0.005857,0.844120,0.844120,0.842144,0.02
none,kmeans,5,500,0.005857,0.844120,0.844120,0.842144,0.02
none,kmeans,5,1000,0.005857,0.844120,0.844120,0.842144,0.02
none,kmeans,5,2000,0.005857,0.844120,0.844120,0.842144,0.02
none,kmeans,6,125,0.006787,0.846181,0.846181,0.862466,0.02
none,kmeans,6,250,0.006787,0.846181,0.846181,0.862466,0.02
none,kmeans,6,500,0.006787,0.846181,0.846181,0.862466,0.02
none,kmeans,6,1000,0.006787,0.846181,0.846181,0.862466,0.02
none,kmeans,6,2000,0.006787,0.846181,0.846181,0.862466,0.02
none,kmeans,7,125,0.006489,0.860044,0.860044,0.870453,0.02
none,kmeans,7,250,0.006489,0.860044,0.860044,0.870453,0.02
none,kmeans,7,500,0.006489,0.860044,0.860044,0.870453,0.02
none,kmeans,7,1000,0.006489,0.860044,0.860044,0.870453,0.02
none,kmeans,7,2000,0.006489,0.860044,0.860044,0.870453,0.02
none,kmeans,8,125,0.006376,0.858980,0.858980,0.872438,0.01
none,kmeans,8,250,0.006376,0.858980,0.858980,0.872438,0.01
none,kmeans,8,500,0.006376,0.858980,0.858980,0.872438,0.01
none,kmeans,8,1000,0.006376,0.858980,0.858980,0.872438,0.01
none,kmeans,8,2000,0.006376,0.858980,0.858980,0.872438,0.01
none,kmeans,9,125,0.006096,0.859687,0.859687,0.849755,0.01
none,kmeans,9,250,0.006096,0.859687,0.859687,0.849755,0.01
none,kmeans,9,500,0.006096,0.859687,0.859687,0.849755,0.01
none,kmeans,9,1000,0.006096,0.859687,0.859687,0.849755,0.01
none,kmeans,9,2000,0.006096,0.859687,0.859687,0.849755,0.01
opt-ga,kmeans,0,125,0.005456,0.862911,0.848369,0.858037,1.84
opt-ga,kmeans,0,250,0.005261,0.867078,0.848369,0.858037,3.74
opt-ga,kmeans,0,500,0.005171,0.865226,0.848369,0.858037,7.47
opt-ga,kmeans,0,1000,0.004903,0.875471,0.848369,0.858037,14.95
opt-ga,kmeans,0,2000,0.004588,0.879690,0.848369,0.858037,29.95
opt-ga,kmeans,1,125,0.005226,0.834826,0.821608,0.832372,2.02
opt-ga,kmeans,1,250,0.005170,0.836066,0.821608,0.832372,3.93
opt-ga,kmeans,1,500,0.005031,0.839248,0.821608,0.832372,7.72
opt-ga,kmeans,1,1000,0.004743,0.858134,0.821608,0.832372,15.41
opt-ga,kmeans,1,2000,0.004362,0.860916,0.821608,0.832372,30.19
opt-ga,kmeans,2,125,0.005513,0.830399,0.803864,0.808888,1.98
opt-ga,kmeans,2,250,0.005246,0.853993,0.803864,0.808888,3.91
opt-ga,kmeans,2,500,0.005057,0.837760,0.803864,0.808888,7.77
opt-ga,kmeans,2,1000,0.004600,0.821667,0.803864,0.808888,15.46
opt-ga,kmeans,2,2000,0.004365,0.824969,0.803864,0.808888,31.17
opt-ga,kmeans,3,125,0.005496,0.879458,0.865678,0.858451,2.12
opt-ga,kmeans,3,250,0.005469,0.879730,0.865678,0.858451,4.09
